type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
0,120.0,1,36.3737765,59.47582,1.0,1.0,2.0,3800000000,31666666.0,12.0,29,1,1,1,0,0,0
1,250.0,5,36.33234062414125,59.48554209952649,17.0,0.0,3.0,14000000000,56000000.0,9.0,150,0,1,1,0,1,0
0,95.0,1,36.3737765,59.47582,2.0,4.0,2.0,3070000000,32315789.0,12.0,29,1,1,1,0,0,0
0,105.0,5,36.33234062414125,59.48554209952649,14.0,4.0,2.0,2750000000,26190476.0,9.0,150,0,1,1,0,0,0
0,130.0,18,36.27278,59.60273,0.0,4.0,3.0,8000000000,61538461.0,8.0,31,1,1,1,0,0,1
0,58.0,16,36.31845,59.58768,0.0,4.0,1.0,700000000,12068965.0,2.0,18,0,0,0,0,0,0
0,155.0,20,36.20421219796482,59.66204499539303,0.0,-1.0,3.0,3720000000,24000000.0,2.0,237,0,0,0,0,0,0
0,55.0,3,36.36002,59.5174,17.0,3.0,1.0,1160000000,21090909.0,10.0,178,0,0,0,0,0,0
0,114.0,0,36.329487,59.53932,15.0,2.0,2.0,5000000000,43859649.0,11.0,32,0,0,0,0,0,0
0,150.0,11,36.31803637201696,59.55147485505697,17.0,2.0,2.0,7300000000,48666666.0,1.0,116,1,1,1,0,0,1
0,160.0,0,36.32754,59.52752,0.0,3.0,3.0,8000000000,50000000.0,11.0,7,1,1,1,0,0,0
0,175.0,14,36.32767,59.54838,16.0,1.0,3.0,6700000000,38285714.0,2.0,166,0,1,1,0,0,0
0,100.0,5,36.33234062414125,59.48554209952649,5.0,1.0,2.0,1400000000,14000000.0,9.0,150,0,1,1,0,0,1
